geaŧŧu	kiäh'tu
geaŧŧu	kiähtu
gelbbolašvuohta	tohálâšvuotâ
geografiija	eennâmtieđâ
geres	pulkke
giddagas	faŋgâl
gieddesuoidni	jurbâsyei'ni
gieddi	kied'di
gieddi	kieddi
giegacizáš	kieVâpottâsikkoo
giegacizáš	kievâpottâsikkoo
giegir	kehârâttâm
giehka	kiehâ
giehta	kietâ
giehtačálus	kie'tâčaalâ
giehtačálus	kietâčaalâ
gieldagas	čevžisuoNâ
gieldda	kiäl'du
gieldda	kiäldu
gielddastivra	kieldâstivrâ
gielddastivra	ku'ndáha'ldâttâs
gielddastivra	kundáhaldâttâs
gielddasámegiella	kieldâsämikieLâ
gieldá	kuolbâfiskispáinu
gielis	kie'les
gielká	kiäl'kká
giella	kieLâ
giella	kielâ
giellabeassi	kie'Lâpiervâl
giellabeassi	kielâpiervâl
giellaguovddáš	kie'Lâkuávdáš
giellaguovddáš	kielâkuávdáš
giellalávdegoddi	kie'Lâlävdikodde
giellalávdegoddi	kielâlävdikodde
giellaoahppa	kielâoppâ
giellavealgu	kie'Lâviäl'gu
giellavealgu	kielâviälgu
giellavealgu	čye'tikieLâ
giellavealgu	čyetikielâ
gierdavašvuohta	killeelvuotâ
gierdu	kiär'du
gierdu	kiärdu
gierdu	riegis
gietkka	kietkâm
gievdni	saŋkko
gievkkan	kievk'kân
gievkkan	kievkkân
gieđbmi	saŋkko
gihli	kihle
gihpa	mappi
gihppu	kiästu
giikan	kiijkár
giisá	árkku
giitu	kiijtos
giljobaš	laavlâčuá'njá
gilká	tivgâ
gilli	sijdâ
gilvaleaddji	ki'štottâllee
gilvaleaddji	kištottâllee
gilvu	ki'štottâllâm
gilvu	kištottâllâm
ginttal	kiintâl
girdi	kirdee
girdi	kirdemmaašin
girdišillju	kirdemkied'di
girdišillju	kirdemkieddi
girdnu	kirno
girjegiella	kirjekielâ
girjegávpi	kirjekävppi
girjehildu	kirjeildee
girjerájus	kirjerááJu
girjerájus	kirjerááju
girji	kirje
girji	reivâ
girjjálašvuohta	ki'rjálâšvuotâ
girjjálašvuohta	kirjálâšvuotâ
girjjáš	kirjááš
girkogárdi	hävdieennâm
girkoráđđi	kirkkorääĐi
girkoráđđi	kirkkorääđi
girku	kirkko
giron	kiärun
gissor	kiisur
gistu	kisto
givgás	kivkkâhâš
givssádus	kikse
gižaldat	sääHir
gižaldat	säähir
giđđa	kiđđâ
giđđadálvi	kiđđâtälvi
goahccevuovdi	kuác'ceevyev'di
goahccevuovdi	kuácceevyevdi
goahcci	kuác'cee
goahcci	kuáccee
goahki	kuáhi
goahtemuorra	ruođâ
goahti	kuáti
goaigi	njášku
goaivu	kuái'vu
goallossátni	kuá'LussääNi
goalmmádas	kuálmádâs
goalšu	ruáhu
goargu	suhânommâ
goarta	kortti
goaskin	kuás'kim
goassege	kuás'sin
goaŋku	kuáŋ'kku
goaŋku	kuáŋkku
goaŧŧu	kuáh'tu
goaŧŧu	kuáhtu
gobbá	koppakuorijâš
goddesáhpán	kozzâ-~kozzsäplig
goddi	kodde
gohppu	koppâ
gohččun	pákkum
goikebiergu	koškepiär'gu
goikebiergu	koškepiärgu
goikket	sovskaamuv
goiku	koško
golbmačiehka	kulmâhâš
golggotmánnu	roovvâdmááNu
golgodávda	njuám'mootavdâ
golgodávda	njuámmootavdâ
gollebahta	kollepottâ
gollerássi	kollerääSi~-rääsi
gollerássi	kollerääsi
gollečeahppi	kollečeppi
golli	kolle
golláš	čalmekollááš
golmmeš	kuulmâš~kuulmiš
gomu	kočâttâh
gonagas	kunâgâs
gonagasbárdni	prinssâ
gonte	konttâ
goppás	koppakuorijâš
gordni	valje
gorostat	njoođâlm
gosahat	kuo'rsâttâh
gotka	kutkâ
govadat	kovos
govdodat	kobdodâh
govva	koVe
govva	kove
govvadáidda	koVetaaiđâ
govvadáidda	kovetaaiđâ
govvaráidu	koVeráiđu
govvaráidu	koveráiđu
govvaráidu	ráiđukoVe
govvejeaddji	kovvejeijee
govvádus	kuvvim
govččas	loovdâ
govččas	tekki
gožu	kiepâ
gođus	kođos
gođđu	koĐo
gođđu	kođo
grámma	grammâ
gudni	kunnee
guhkesbearjadat	kuhesperjâdâh
guhkkodat	kukkodâh
guhkkodatnjuiken	kukkodâhnjuškim
guhkká	kukká
guhkká	piät'tárrääSi~-rääsi
guhkká	piättárrääsi
guhkkár	pursâ~purssâ
guigu	nuo'râkkâš
guite	kuittâ
guksi	kukse
guksi	ávskár
gulahus	kulluuttâs
gulbmi	kulme
guldaleaddji	kuldâleijee
gulli	kuldâleijee
gullu	kuLo
gullu	kulo
gummebáddi	kumipäddi
gumpe	kumppi
guoddi	kyed'dee
guoddi	kyeddee
guoddá	kuád'dá
guoddá	madrâs
guoggun	kuág'gum
guoggun	kuággum
guohcarássi	ulâštooŋâs
guohkki	kuáh'čá
guohpa	kuopâ
guohttelus	lote
guohtun	kuáttumeennâm
guoibmi	kyei'mi
guoibmi	peLikyei'mi
guoibmi	ávuskyei'mi
guoibmi	ávuskyeimi
guoika	kuoš'kâ
guoikgáhrit	kuoš'kkärigâš
guoikgáhrit	kuoškkärigâš
guoksa	kuop'sâ
guoksa	kuopsâ
guolbmá	porge
guolga	soovsâ
guollebivdu	kuá'lástus
guollebivdu	kuálástus
guolli	kyeLi
guopmi	kyeMi
guopmi	kyemi
guoppar	kuobâr
guorahallan	čiel'giittâs
guorahallan	čielgiittâs
guorbmi	kyer'mi
guorga	kuor'gâ
guorga	kuorgâ
guorká	läbžimáátu
guossa	kuoSâ
guottu	syeb'dee
guottádat	kuá'dádâh~kuá'dádoh~kuá'dáduh
guovddáš	kuávdáš
guovdi	piätukyevdi
guovllas	vyev'li
guovllas	vyevli
guovlu	kuáv'lu
guovlu	kuávlu
guovssu	kuávsui
guovttegielatvuohta	kyevtkie'lâlâšvuotâ
